id,question,answer,category,difficulty,explanation
1,"What is 7 + 5?","12","Arithmetic","Easy","Add the two numbers: 7 + 5 = 12."
2,"What is 9 - 4?","5","Arithmetic","Easy","Subtract 4 from 9 to get 5."
3,"What is 6 × 3?","18","Arithmetic","Easy","Multiplication means repeated addition: 6 × 3 = 18."
4,"Solve for x: 2x + 5 = 11","3","Algebra","Medium","Subtract 5 from both sides to get 2x = 6, then divide by 2."
5,"Solve for y: 3y - 4 = 11","5","Algebra","Medium","Add 4 to both sides to get 3y = 15, then divide by 3."
6,"Simplify: (x² × x³)","x^5","Algebra","Medium","When multiplying powers with the same base, add the exponents."
7,"What is the area of a circle with radius 7?","153.94","Geometry","Hard","Use A = πr² → π × 7² ≈ 153.94."
8,"Find the hypotenuse of a right triangle with sides 5 and 12.","13","Geometry","Hard","Use Pythagorean theorem: √(5² + 12²) = 13."
9,"A square has area 81. What is its perimeter?","36","Geometry","Hard","Side = √81 = 9, perimeter = 4 × 9."
10,"If a train travels 60 km in 1.5 hours, what is its average speed?","40","Word Problem","Medium","Speed = distance ÷ time = 60 ÷ 1.5."
11,"A number is doubled and increased by 9 to make 25. What is the number?","8","Word Problem","Hard","2x + 9 = 25 → 2x = 16 → x = 8."
12,"John had 5 apples and bought 7 more. How many apples does he have now?","12","Word Problem","Easy","Add the apples: 5 + 7 = 12."
13,"What is the sum of angles in a triangle?","180","Geometry","Easy","All triangles have interior angles summing to 180°."
14,"What is a right angle?","90 degrees","Geometry","Easy","A right angle measures exactly 90 degrees."
15,"What is the area of a square with side 2?","4","Geometry","Easy","Area = side² = 2² = 4."
16,"What is the perimeter of a rectangle with sides 2 and 3?","10","Geometry","Easy","Perimeter = 2 × (2 + 3)."
17,"Name a type of triangle with all equal sides?","Equilateral","Geometry","Easy","An equilateral triangle has three equal sides."
18,"What is the Pythagorean theorem?","a^2 + b^2 = c^2","Geometry","Medium","It relates the sides of a right triangle."
19,"Calculate the area of a circle with radius 3.","28.27","Geometry","Medium","A = πr² → π × 3² ≈ 28.27."
20,"What is the volume of a cube with side 4?","64","Geometry","Medium","Volume = side³ = 4³."
21,"Find the missing angle if two angles are 50 and 60.","70","Geometry","Medium","Angles in a triangle sum to 180°."
22,"Define congruent triangles.","Triangles with same shape and size","Geometry","Medium","Congruent triangles have equal sides and angles."
23,"What is the surface area of a sphere with radius 5?","314.16","Geometry","Hard","Surface area = 4πr²."
24,"Find the volume of a cone with radius 3 and height 4.","37.7","Geometry","Hard","Volume = (1/3)πr²h."
25,"Prove the sum of angles in a quadrilateral.","360 degrees","Geometry","Hard","A quadrilateral can be split into two triangles."
26,"Find the diagonal of a rectangle with sides 3 and 4.","5","Geometry","Hard","Use Pythagorean theorem."
27,"Explain similarity in triangles.","Same shape, proportional sides","Geometry","Hard","Similar triangles have equal angles and proportional sides."
28,"Solve for x: x + 3 = 7","4","Algebra","Easy","Subtract 3 from both sides."
29,"Simplify: 2x + 3x","5x","Algebra","Easy","Combine like terms."
30,"What is x if 2x = 10?","5","Algebra","Easy","Divide both sides by 2."
31,"Solve: x - 5 = 0","5","Algebra","Easy","Add 5 to both sides."
32,"Find y: y/2 = 3","6","Algebra","Easy","Multiply both sides by 2."
33,"Factorize: x^2 - 4","(x-2)(x+2)","Algebra","Medium","This is a difference of squares."
34,"Solve: 2x + 3 = 9","3","Algebra","Medium","Subtract 3, then divide by 2."
35,"Simplify: 3(x+2) - x","2x + 6","Algebra","Medium","Distribute and combine like terms."
36,"Solve for x: 3x - 5 = 16","7","Algebra","Medium","Add 5, then divide by 3."
37,"Find x: x^2 = 16","4 or -4","Algebra","Medium","Take the square root of both sides."
38,"Solve: 2x^2 + 3x - 5 = 0","1 or -5/2","Algebra","Hard","Factor or use quadratic formula."
39,"Simplify: (x^2 - y^2)/(x - y)","x + y","Algebra","Hard","Factor numerator as a difference of squares."
40,"Find x: 4x^2 - 9 = 0","3/2 or -3/2","Algebra","Hard","Solve by factoring."
41,"Solve: x^3 - 8 = 0","2","Algebra","Hard","Cube root both sides."
42,"Factorize: x^3 + 27","(x+3)(x^2 - 3x + 9)","Algebra","Hard","Sum of cubes formula."
43,"What is 5 + 3?","8","Arithmetic","Easy","Add the numbers."
44,"Calculate 7 - 2","5","Arithmetic","Easy","Subtract 2 from 7."
45,"Multiply: 3 x 4","12","Arithmetic","Easy","Multiply the two numbers."
46,"Divide: 12 ÷ 3","4","Arithmetic","Easy","Divide 12 by 3."
47,"What is 10 + 15?","25","Arithmetic","Easy","Add 10 and 15."
48,"Calculate 25 x 4","100","Arithmetic","Medium","Multiply 25 by 4."
49,"What is 144 ÷ 12?","12","Arithmetic","Medium","Divide 144 by 12."
50,"Add: 123 + 456","579","Arithmetic","Medium","Add the two numbers."
51,"Subtract: 500 - 275","225","Arithmetic","Medium","Subtract 275 from 500."
52,"Multiply: 14 x 6","84","Arithmetic","Medium","Multiply 14 by 6."
53,"What is 125 ÷ 5?","25","Arithmetic","Hard","Divide 125 by 5."
54,"Calculate: 36 x 12","432","Arithmetic","Hard","Multiply 36 by 12."
55,"Find: 2^5","32","Arithmetic","Hard","2 multiplied by itself 5 times."
56,"Solve: 7^2 + 8^2","113","Arithmetic","Hard","49 + 64 = 113."
57,"Divide: 1000 ÷ 25","40","Arithmetic","Hard","Divide 1000 by 25."
58,"If you have 2 apples and get 3 more, how many apples?","5","WordProblem","Easy","Add the apples."
59,"A car travels 10 km in 1 hour. How far in 2 hours?","20","WordProblem","Easy","Distance = speed × time."
60,"John has 5 candies, eats 2. How many left?","3","WordProblem","Easy","Subtract eaten candies."
61,"Sara buys 3 pencils and 2 pens. Total items?","5","WordProblem","Easy","Add pencils and pens."
62,"If you read 2 pages per day, how many in 3 days?","6","WordProblem","Easy","Multiply pages per day by days."
63,"A train travels 60 km in 1 hour. How far in 2.5 hours?","150","WordProblem","Medium","Distance = 60 × 2.5."
64,"Tom has 10 books, gives away 3. How many left?","7","WordProblem","Medium","Subtract the given books."
65,"A rectangle is 4m by 3m. Find area.","12","WordProblem","Medium","Area = length × width."
66,"If a bottle holds 2L, how much in 5 bottles?","10","WordProblem","Medium","Multiply liters per bottle."
67,"A bus carries 40 passengers, 12 get off. How many remain?","28","WordProblem","Medium","Subtract passengers who left."
68,"If a pool holds 500L and 250L drained, how much left?","250","WordProblem","Hard","Subtract drained water."
69,"A cube has side 3cm. Find volume.","27","WordProblem","Hard","Volume = side³."
70,"A farmer has 100 eggs, sells 40, eats 10. Left?","50","WordProblem","Hard","Subtract sold and eaten eggs."
71,"A train travels 80 km at 40 km/h. How long?","2 hours","WordProblem","Hard","Time = distance ÷ speed."
72,"If 3 workers paint 9 walls in 3 days, 1 wall per day?","1","WordProblem","Hard","Each worker paints 1 wall per day."

